 # Mon Nov 10 17:34:22 2008
 # MSTW 2008 NLO PDF grid for eigenvector   20.
 # distance(t),tolerance(T) =   22.0078902  8.71854801
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -8.6322E+00  9.5057E-01  9.5818E-01  3.2449E-01  0.0000E+00  0.0000E+00  1.1982E-04  7.7222E-03 -6.2716E-03
 -8.4168E+00  9.0954E-01  9.1733E-01  2.9140E-01  0.0000E+00  0.0000E+00  1.5681E-04  7.9466E-03 -6.3590E-03
 -7.9091E+00  8.9437E-01  9.0229E-01  2.8198E-01  0.0000E+00  0.0000E+00  1.8619E-04  8.1151E-03 -6.4227E-03
 -6.5933E+00  8.9885E-01  9.0695E-01  2.9396E-01  0.0000E+00  0.0000E+00  2.2798E-04  8.3422E-03 -6.5062E-03
 -6.5933E+00  8.9885E-01  9.0695E-01  2.9396E-01  6.7922E-08  0.0000E+00  2.2798E-04  8.3422E-03 -6.5062E-03
 -4.8593E+00  9.2790E-01  9.3615E-01  3.2898E-01  3.6851E-02  0.0000E+00  2.6503E-04  8.5310E-03 -6.5728E-03
 -2.5437E+00  9.7897E-01  9.8736E-01  3.8557E-01  9.4278E-02  0.0000E+00  3.0179E-04  8.7107E-03 -6.6345E-03
  3.2392E-02  1.0427E+00  1.0512E+00  4.5384E-01  1.6327E-01  0.0000E+00  3.3432E-04  8.8641E-03 -6.6858E-03
  3.0641E+00  1.1221E+00  1.1307E+00  5.3748E-01  2.4759E-01  0.0000E+00  3.6623E-04  9.0101E-03 -6.7336E-03
  6.9411E+00  1.2272E+00  1.2359E+00  6.4700E-01  3.5783E-01  0.0000E+00  4.0083E-04  9.1639E-03 -6.7828E-03
  1.0899E+01  1.3368E+00  1.3457E+00  7.6033E-01  4.7177E-01  0.0000E+00  4.3150E-04  9.2966E-03 -6.8243E-03
  1.5294E+01  1.4602E+00  1.4692E+00  8.8720E-01  5.9922E-01  0.0000E+00  4.6165E-04  9.4241E-03 -6.8634E-03
  1.9185E+01  1.5704E+00  1.5794E+00  1.0000E+00  7.1250E-01  0.0000E+00  4.8590E-04  9.5246E-03 -6.8937E-03
  3.4581E+01  2.0125E+00  2.0217E+00  1.4506E+00  1.1646E+00  0.0000E+00  5.6738E-04  9.8507E-03 -6.9886E-03
  3.4581E+01  2.0125E+00  2.0217E+00  1.4506E+00  1.1646E+00  4.3311E-08  5.6738E-04  9.8507E-03 -6.9886E-03
  3.8213E+01  2.1242E+00  2.1335E+00  1.5641E+00  1.2783E+00  1.3161E-01  5.8521E-04  9.9194E-03 -7.0079E-03
