 # Mon Nov 10 16:54:18 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -1.
 # distance(t),tolerance(T) =   3.76623  3.75685854
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  2.2543E+02  8.1708E+00  8.1786E+00  7.5612E+00  7.1406E+00  5.6286E+00  4.5667E-04  8.3324E-03 -1.0331E-03
  2.6074E+02  9.2673E+00  9.2752E+00  8.6623E+00  8.2445E+00  6.7442E+00  4.8974E-04  8.4739E-03 -1.0419E-03
  2.9695E+02  1.0394E+01  1.0402E+01  9.7937E+00  9.3784E+00  7.8888E+00  5.2168E-04  8.6071E-03 -1.0501E-03
  3.3360E+02  1.1539E+01  1.1547E+01  1.0943E+01  1.0530E+01  9.0498E+00  5.5235E-04  8.7321E-03 -1.0577E-03
  3.7293E+02  1.2773E+01  1.2781E+01  1.2180E+01  1.1769E+01  1.0299E+01  5.8372E-04  8.8572E-03 -1.0652E-03
  4.1407E+02  1.4068E+01  1.4077E+01  1.3479E+01  1.3070E+01  1.1610E+01  6.1513E-04  8.9798E-03 -1.0725E-03
  4.5555E+02  1.5381E+01  1.5390E+01  1.4795E+01  1.4389E+01  1.2937E+01  6.4554E-04  9.0961E-03 -1.0793E-03
  4.9679E+02  1.6693E+01  1.6701E+01  1.6110E+01  1.5705E+01  1.4261E+01  6.7475E-04  9.2059E-03 -1.0856E-03
  5.4056E+02  1.8092E+01  1.8101E+01  1.7513E+01  1.7110E+01  1.5674E+01  7.0471E-04  9.3166E-03 -1.0919E-03
  5.8576E+02  1.9545E+01  1.9554E+01  1.8969E+01  1.8567E+01  1.7139E+01  7.3474E-04  9.4257E-03 -1.0981E-03
  6.3075E+02  2.0999E+01  2.1008E+01  2.0426E+01  2.0026E+01  1.8605E+01  7.6381E-04  9.5297E-03 -1.1039E-03
  6.7520E+02  2.2444E+01  2.2453E+01  2.1873E+01  2.1475E+01  2.0060E+01  7.9179E-04  9.6284E-03 -1.1094E-03
  7.2187E+02  2.3969E+01  2.3978E+01  2.3401E+01  2.3004E+01  2.1596E+01  8.2050E-04  9.7283E-03 -1.1148E-03
  7.6979E+02  2.5544E+01  2.5553E+01  2.4978E+01  2.4583E+01  2.3181E+01  8.4932E-04  9.8272E-03 -1.1201E-03
  8.1722E+02  2.7112E+01  2.7121E+01  2.6548E+01  2.6155E+01  2.4759E+01  8.7726E-04  9.9218E-03 -1.1252E-03
  8.6380E+02  2.8660E+01  2.8669E+01  2.8098E+01  2.7706E+01  2.6317E+01  9.0419E-04  1.0012E-02 -1.1300E-03
  9.1244E+02  3.0285E+01  3.0294E+01  2.9726E+01  2.9335E+01  2.7951E+01  9.3182E-04  1.0103E-02 -1.1348E-03
  9.6208E+02  3.1953E+01  3.1962E+01  3.1396E+01  3.1007E+01  2.9629E+01  9.5957E-04  1.0194E-02 -1.1395E-03
  1.0111E+03  3.3608E+01  3.3617E+01  3.3054E+01  3.2665E+01  3.1292E+01  9.8650E-04  1.0281E-02 -1.1440E-03
