 # Mon Nov 10 17:08:36 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -6.
 # distance(t),tolerance(T) =   6.11531  6.18008314
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -5.8259E+00  8.9299E-01  9.0095E-01  2.9692E-01  3.2116E-02  0.0000E+00  1.9986E-04  8.1799E-03  2.6054E-05
 -3.5559E+00  9.4041E-01  9.4850E-01  3.4992E-01  8.5497E-02  0.0000E+00  2.3286E-04  8.3499E-03  2.6340E-05
 -1.0125E+00  1.0012E+00  1.0094E+00  4.1534E-01  1.5126E-01  0.0000E+00  2.6218E-04  8.4952E-03  2.6581E-05
  1.9945E+00  1.0780E+00  1.0864E+00  4.9649E-01  2.3274E-01  0.0000E+00  2.9103E-04  8.6336E-03  2.6807E-05
  5.8535E+00  1.1808E+00  1.1892E+00  6.0363E-01  3.4024E-01  0.0000E+00  3.2241E-04  8.7795E-03  2.7042E-05
  9.8031E+00  1.2885E+00  1.2971E+00  7.1513E-01  4.5205E-01  0.0000E+00  3.5031E-04  8.9056E-03  2.7242E-05
  1.4198E+01  1.4103E+00  1.4190E+00  8.4046E-01  5.7768E-01  0.0000E+00  3.7780E-04  9.0267E-03  2.7432E-05
  1.8095E+01  1.5194E+00  1.5281E+00  9.5222E-01  6.8969E-01  0.0000E+00  3.9995E-04  9.1223E-03  2.7580E-05
  3.3544E+01  1.9590E+00  1.9679E+00  1.4004E+00  1.1387E+00  0.0000E+00  4.7466E-04  9.4327E-03  2.8051E-05
  3.3544E+01  1.9590E+00  1.9679E+00  1.4004E+00  1.1387E+00  4.3048E-08  4.7466E-04  9.4327E-03  2.8051E-05
  3.7197E+01  2.0705E+00  2.0794E+00  1.5136E+00  1.2520E+00  1.3084E-01  4.9107E-04  9.4982E-03  2.8148E-05
  4.9142E+01  2.4332E+00  2.4423E+00  1.8813E+00  1.6203E+00  5.0418E-01  5.4031E-04  9.6908E-03  2.8430E-05
  6.3515E+01  2.8703E+00  2.8795E+00  2.3234E+00  2.0629E+00  9.5361E-01  5.9308E-04  9.8907E-03  2.8716E-05
  7.8367E+01  3.3227E+00  3.3321E+00  2.7803E+00  2.5203E+00  1.4170E+00  6.4229E-04  1.0072E-02  2.8971E-05
  9.5172E+01  3.8359E+00  3.8454E+00  3.2979E+00  3.0383E+00  1.9410E+00  6.9323E-04  1.0255E-02  2.9223E-05
  1.1055E+02  4.3068E+00  4.3164E+00  3.7723E+00  3.5131E+00  2.4207E+00  7.3646E-04  1.0406E-02  2.9429E-05
  1.3101E+02  4.9359E+00  4.9457E+00  4.4056E+00  4.1470E+00  3.0604E+00  7.9008E-04  1.0590E-02  2.9674E-05
  1.5080E+02  5.5467E+00  5.5565E+00  5.0199E+00  4.7617E+00  3.6802E+00  8.3857E-04  1.0753E-02  2.9888E-05
  1.7035E+02  6.1529E+00  6.1629E+00  5.6294E+00  5.3716E+00  4.2947E+00  8.8390E-04  1.0902E-02  3.0080E-05
  1.9718E+02  6.9895E+00  6.9996E+00  6.4700E+00  6.2127E+00  5.1415E+00  9.4265E-04  1.1092E-02  3.0321E-05
  2.2447E+02  7.8457E+00  7.8559E+00  7.3299E+00  7.0731E+00  6.0073E+00  9.9913E-04  1.1270E-02  3.0543E-05
  2.5189E+02  8.7118E+00  8.7221E+00  8.1993E+00  7.9430E+00  6.8821E+00  1.0531E-03  1.1438E-02  3.0749E-05
  2.8111E+02  9.6407E+00  9.6511E+00  9.1315E+00  8.8757E+00  7.8196E+00  1.1082E-03  1.1605E-02  3.0951E-05
  3.1145E+02  1.0612E+01  1.0623E+01  1.0106E+01  9.8508E+00  8.7994E+00  1.1631E-03  1.1770E-02  3.1146E-05
  3.4184E+02  1.1592E+01  1.1603E+01  1.1089E+01  1.0834E+01  9.7874E+00  1.2160E-03  1.1926E-02  3.1328E-05
  3.7187E+02  1.2568E+01  1.2578E+01  1.2067E+01  1.1813E+01  1.0770E+01  1.2667E-03  1.2074E-02  3.1497E-05
  4.0355E+02  1.3604E+01  1.3615E+01  1.3106E+01  1.2852E+01  1.1813E+01  1.3185E-03  1.2222E-02  3.1665E-05
  4.3607E+02  1.4675E+01  1.4686E+01  1.4180E+01  1.3926E+01  1.2891E+01  1.3702E-03  1.2369E-02  3.1829E-05
  4.6826E+02  1.5743E+01  1.5754E+01  1.5251E+01  1.4997E+01  1.3966E+01  1.4202E-03  1.2509E-02  3.1983E-05
  4.9989E+02  1.6800E+01  1.6811E+01  1.6310E+01  1.6057E+01  1.5029E+01  1.4681E-03  1.2642E-02  3.2126E-05
  5.3293E+02  1.7912E+01  1.7923E+01  1.7424E+01  1.7171E+01  1.6147E+01  1.5172E-03  1.2776E-02  3.2270E-05
  5.6667E+02  1.9055E+01  1.9067E+01  1.8569E+01  1.8317E+01  1.7296E+01  1.5663E-03  1.2909E-02  3.2411E-05
  5.9992E+02  2.0190E+01  2.0201E+01  1.9706E+01  1.9454E+01  1.8436E+01  1.6138E-03  1.3036E-02  3.2543E-05
  6.3241E+02  2.1306E+01  2.1317E+01  2.0824E+01  2.0572E+01  1.9558E+01  1.6594E-03  1.3158E-02  3.2668E-05
  6.6618E+02  2.2473E+01  2.2485E+01  2.1993E+01  2.1742E+01  2.0731E+01  1.7062E-03  1.3281E-02  3.2793E-05
  7.0050E+02  2.3668E+01  2.3679E+01  2.3190E+01  2.2939E+01  2.1930E+01  1.7530E-03  1.3403E-02  3.2916E-05
  7.3421E+02  2.4849E+01  2.4861E+01  2.4373E+01  2.4122E+01  2.3117E+01  1.7984E-03  1.3520E-02  3.3033E-05
  7.6705E+02  2.6007E+01  2.6019E+01  2.5532E+01  2.5282E+01  2.4279E+01  1.8420E-03  1.3632E-02  3.3143E-05
  8.0106E+02  2.7213E+01  2.7225E+01  2.6740E+01  2.6490E+01  2.5490E+01  1.8867E-03  1.3746E-02  3.3253E-05
  8.3562E+02  2.8448E+01  2.8459E+01  2.7976E+01  2.7727E+01  2.6729E+01  1.9316E-03  1.3860E-02  3.3362E-05
  8.6937E+02  2.9660E+01  2.9672E+01  2.9190E+01  2.8941E+01  2.7946E+01  1.9750E-03  1.3969E-02  3.3466E-05
  9.0226E+02  3.0849E+01  3.0861E+01  3.0381E+01  3.0131E+01  2.9139E+01  2.0169E-03  1.4074E-02  3.3564E-05
  9.3623E+02  3.2083E+01  3.2095E+01  3.1617E+01  3.1368E+01  3.0378E+01  2.0598E-03  1.4180E-02  3.3663E-05
 -7.9022E+00  8.5594E-01  8.6416E-01  2.8463E-01  0.0000E+00  0.0000E+00  8.9234E-05  8.3134E-03  2.6760E-05
 -7.6709E+00  8.2111E-01  8.2953E-01  2.5718E-01  0.0000E+00  0.0000E+00  1.3094E-04  8.5535E-03  2.7177E-05
 -7.1618E+00  8.0975E-01  8.1831E-01  2.5116E-01  0.0000E+00  0.0000E+00  1.6429E-04  8.7340E-03  2.7483E-05
 -5.8749E+00  8.1780E-01  8.2655E-01  2.6616E-01  0.0000E+00  0.0000E+00  2.1203E-04  8.9780E-03  2.7888E-05
 -5.8749E+00  8.1780E-01  8.2655E-01  2.6616E-01  7.1196E-08  0.0000E+00  2.1203E-04  8.9780E-03  2.7888E-05
 -4.2096E+00  8.4799E-01  8.5690E-01  3.0191E-01  3.7434E-02  0.0000E+00  2.5466E-04  9.1813E-03  2.8215E-05
 -2.0083E+00  8.9826E-01  9.0731E-01  3.5728E-01  9.3464E-02  0.0000E+00  2.9714E-04  9.3751E-03  2.8521E-05
  4.2030E-01  9.5950E-01  9.6868E-01  4.2278E-01  1.5952E-01  0.0000E+00  3.3487E-04  9.5410E-03  2.8778E-05
  3.2586E+00  1.0348E+00  1.0441E+00  5.0204E-01  2.3930E-01  0.0000E+00  3.7199E-04  9.6989E-03  2.9019E-05
  6.8645E+00  1.1336E+00  1.1430E+00  6.0485E-01  3.4267E-01  0.0000E+00  4.1235E-04  9.8656E-03  2.9269E-05
  1.0524E+01  1.2357E+00  1.2453E+00  7.1045E-01  4.4875E-01  0.0000E+00  4.4821E-04  1.0010E-02  2.9482E-05
  1.4567E+01  1.3500E+00  1.3597E+00  8.2796E-01  5.6672E-01  0.0000E+00  4.8354E-04  1.0148E-02  2.9683E-05
  1.8131E+01  1.4516E+00  1.4613E+00  9.3199E-01  6.7112E-01  0.0000E+00  5.1200E-04  1.0258E-02  2.9841E-05
  3.2120E+01  1.8560E+00  1.8659E+00  1.3442E+00  1.0845E+00  0.0000E+00  6.0794E-04  1.0613E-02  3.0340E-05
  3.2120E+01  1.8560E+00  1.8659E+00  1.3442E+00  1.0845E+00  3.9437E-08  6.0794E-04  1.0613E-02  3.0340E-05
  3.5397E+01  1.9575E+00  1.9675E+00  1.4474E+00  1.1879E+00  1.1979E-01  6.2900E-04  1.0688E-02  3.0442E-05
  4.6058E+01  2.2863E+00  2.2965E+00  1.7808E+00  1.5221E+00  4.5952E-01  6.9216E-04  1.0909E-02  3.0740E-05
  5.8794E+01  2.6795E+00  2.6898E+00  2.1786E+00  1.9206E+00  8.6522E-01  7.5980E-04  1.1138E-02  3.1042E-05
  7.1868E+01  3.0838E+00  3.0943E+00  2.5870E+00  2.3297E+00  1.2806E+00  8.2285E-04  1.1346E-02  3.1310E-05
  8.6571E+01  3.5398E+00  3.5504E+00  3.0469E+00  2.7902E+00  1.7475E+00  8.8808E-04  1.1556E-02  3.1575E-05
  9.9954E+01  3.9560E+00  3.9667E+00  3.4664E+00  3.2103E+00  2.1727E+00  9.4341E-04  1.1730E-02  3.1791E-05
  1.1768E+02  4.5095E+00  4.5204E+00  4.0237E+00  3.7683E+00  2.7368E+00  1.0120E-03  1.1941E-02  3.2048E-05
  1.3473E+02  5.0444E+00  5.0554E+00  4.5619E+00  4.3070E+00  3.2808E+00  1.0740E-03  1.2128E-02  3.2271E-05
  1.5151E+02  5.5733E+00  5.5844E+00  5.0937E+00  4.8394E+00  3.8180E+00  1.1319E-03  1.2300E-02  3.2473E-05
  1.7443E+02  6.3001E+00  6.3113E+00  5.8242E+00  5.5706E+00  4.5551E+00  1.2070E-03  1.2518E-02  3.2724E-05
  1.9764E+02  7.0409E+00  7.0522E+00  6.5683E+00  6.3153E+00  5.3054E+00  1.2791E-03  1.2723E-02  3.2955E-05
  2.2086E+02  7.7873E+00  7.7988E+00  7.3178E+00  7.0654E+00  6.0606E+00  1.3479E-03  1.2916E-02  3.3168E-05
  2.4550E+02  8.5851E+00  8.5967E+00  8.1186E+00  7.8668E+00  6.8670E+00  1.4181E-03  1.3110E-02  3.3378E-05
  2.7099E+02  9.4167E+00  9.4284E+00  8.9530E+00  8.7018E+00  7.7069E+00  1.4881E-03  1.3300E-02  3.3579E-05
  2.9643E+02  1.0253E+01  1.0265E+01  9.7920E+00  9.5413E+00  8.5509E+00  1.5555E-03  1.3480E-02  3.3767E-05
  3.2150E+02  1.1083E+01  1.1095E+01  1.0624E+01  1.0374E+01  9.3877E+00  1.6200E-03  1.3650E-02  3.3942E-05
  3.4785E+02  1.1962E+01  1.1974E+01  1.1506E+01  1.1256E+01  1.0274E+01  1.6859E-03  1.3822E-02  3.4115E-05
  3.7482E+02  1.2868E+01  1.2880E+01  1.2414E+01  1.2165E+01  1.1187E+01  1.7517E-03  1.3991E-02  3.4283E-05
  4.0145E+02  1.3770E+01  1.3782E+01  1.3318E+01  1.3069E+01  1.2095E+01  1.8152E-03  1.4152E-02  3.4441E-05
  4.2753E+02  1.4659E+01  1.4672E+01  1.4210E+01  1.3962E+01  1.2991E+01  1.8762E-03  1.4306E-02  3.4589E-05
  4.5472E+02  1.5593E+01  1.5606E+01  1.5146E+01  1.4898E+01  1.3931E+01  1.9385E-03  1.4461E-02  3.4736E-05
  4.8242E+02  1.6552E+01  1.6564E+01  1.6106E+01  1.5859E+01  1.4896E+01  2.0008E-03  1.4615E-02  3.4879E-05
  5.0963E+02  1.7501E+01  1.7513E+01  1.7057E+01  1.6810E+01  1.5850E+01  2.0611E-03  1.4762E-02  3.5014E-05
